id	len	sha256	description	periodic
v-email	24	4fefd3a4dba68183f57929938b4c62198e458a10de290c190dd19357cfe161b9	field/hit a plausible email address: the OWASP validator and every real mail-address consumer's common case	no
v-ipv4	11	c5eb5a4cc76a5cdb16e79864b9ccd26c3553f0c396d0a21bafb7be71c1efcd8c	field/hit a valid dotted-quad: OWASP's IPv4 validator and its designed twin (answer-identical -- both octet-range-bound)	10
v-ipv4-oor	9	fec4ccb74c28f406f7b7a770c3d7ab9c381db9c0c19cde1794d15278d0855d0d	field/miss an out-of-range octet: both the OWASP IPv4 validator and its twin correctly reject it (the naive \d{1,3}-per-octet gotcha the twin was modeled on does NOT apply to either -- see v-ipv4's own description)	no
v-us-zip	5	b83c588da0c6931625f42e0948054a3ade722bfd02c27816305742ed7390ac6c	field/hit a plain 5-digit ZIP	no
v-us-zip-plus4	10	1fd794e670cc4ea27fbfce9bcdd7d3d0068a8a022aaa57de85456e9450e145b2	field/hit the ZIP+4 extended form	no
v-uuid-valid	36	ae6cdcce5bf2eb369c355f9bddd88db6aa2b0061726480eb3315ecaeb6d16af8	field/hit a version-1/variant-8 UUID: the grok class-heavy import AND its RFC-4122-strict twin both accept it	no
v-uuid-badnibble	36	b6f511bbf7098c20e8d997e15b316547cc2ab581d1895956d970e7d8e1b9baef	field/edge a UUID-shaped string with an out-of-range version nibble ('0') and variant nibble ('1'): the grok import (pure hex-range classes) still HITS; the RFC-4122-strict twin MISSES -- the pair's whole point	no
lp-num-neg-dec	7	bcf594d2e58b1c4055d7d7916df6ad975906b839f0956f97bd0eda405c605859	field/hit a signed decimal: grok BASE10NUM (atomic and non-atomic) and the near-miss twin all accept it	no
lp-num-leadzero	4	1be2e452b46d7a0d9656bbb1f768e8248eba1b75baed65f5d99eafa948899a6a	field/edge a leading-zero integer: grok's BASE10NUM (unanchored SEARCH, no leading-zero rule) still HITS; the near-miss twin (anchored, JSON-strict '0'|'[1-9]\d*') MISSES	no
lp-quoted	13	c544418000753a16990ccb2a54ab06b07534806228e661a2d71745f2ee810cae	field/hit a double-quoted string, no escapes	12
lp-quoted-escaped	16	05cade54cb45afff31f5ac0dd4d9af69171ecf401fd5b16ea4a042694fced26a	field/edge a double-quoted string with an escaped quote inside: the atomic QUOTEDSTRING's own `\\.|[^\\"]+` alternation	15
lp-winpath	22	e07e7aec2c4353056eef4c58f472be785729f3cf1312e6d42743bcd9df11fd33	field/hit a Windows path: grok WINPATH and its near-miss twin both accept it (no reserved character)	no
lp-winpath-reserved	24	cb38583948d63986defc8643fb1e7fe0a4db2b02facb731988e57d44af842238	field/edge a Windows path with a reserved character ('<') in a segment: grok WINPATH (permissive `[^\\?*]*`) still HITS; the near-miss twin (rejects all nine reserved characters) MISSES	no
lp-syslog	56	ea894c6393d3d913572d8711f10ad71bfd8571a7e517c9b9c767cdebc9b69913	field/hit a realistic syslog line: facility.priority prefix, timestamp, host, program[pid]:	no
lp-atomic-hit	31	93e5173763cbc3c1f14b95c68f0a697bb2eb2bdb93b6984969f9c403d506acc5	field/hit a valid facility.severity tag: both the atomic and non-atomic authored control pair accept it	no
lp-atomic-nonmatch	23	2fa9febff4a9bc2857e3de5df316de6927dd0a939ef8ac4354b4b8d4f0f80387	field/miss a facility-shaped but invalid token (no such facility): both members of the control pair reject it identically -- only their COST differs on a line built to make the atomic form fail fast	no
waf-dbnames	39	b6de14ad9763d30883631e795bcd02d04715ddcda66f22c284fdd2f06694270b	field/hit an information_schema reference	no
waf-sleep	16	fb8c66e0fc35dce0a65920c867ba134c7c9965cfee0d62edd9f5dca71778bc0e	field/hit a time-based blind SQLi payload	no
waf-union	43	3e09db5dac0b265547e36f53fb2fb06d511fa673743e05535c7ab696fcca1aa0	field/hit a UNION SELECT payload	no
waf-concat	48	009cdae95ec9ac442e75264e35b996dc13f57876730077cab93b166e1d2ff24a	field/hit a CONCAT-based exfiltration payload	no
waf-comment-obfuscation	18	9408b998fb23510d62585f17b4c5e66220edcddd2dd4278fc842b6029ece0e2b	field/hit a MySQL versioned-comment obfuscated payload	no
