# testees/pcrec/list_limits.tsv -- pcrec's NUMERIC-LIMITS TABLE at the pin
# (the SIXTH registry surface, pcrec D90 / [LIM-1],
# docs/spec/table_contract.md), archived VERBATIM under a source header --
# the THIRD archive target beside list_axes.tsv / list_definitions.tsv
# (inbox I-25: "ARCHIVE IT beside --list-axes at your re-pin"). Everything
# below this header is the unmodified output of:
#
#     build/pcrec-d34c9131/build/pcrec --list-limits
#
# pcrec commit d34c91311ba27968bf2ff5ebfd9d6bebe5639f2f (abi 23), archived
# 2026-09-06 by the manager ([B39], the eleventh session). 56 data rows / 7
# columns (name, value, unit, kind, override, anchor, desc) -- one row per
# numeric limit in pcrec src/core/limits.def, in the table's own order. The
# diff from the 334fd10e copy (55 rows, [B37]) is ONE NEW ROW and FOUR
# RE-WORDED ONES, exactly as the b39prep lane predicted from the source diff
# (pcrec [LIM-2] N1, "work-budget fallback + generalized raise surface",
# behind 37f5ae02):
#
#   - PCREC_MAX_AUTO_DFA_ELEMS 30000000 (`elements`, `compile budget`,
#     override `-D`, anchor 3.3), inserted after PCREC_MAX_SUBSET_ELEMS: the
#     AUTO route's own DFA-attempt WORK BUDGET in K7's already-counted
#     subset-element unit -- over budget, AUTO falls back to the VM instead
#     of spending the whole K7 budget on a DFA it may then refuse. A new
#     engine-route input this bench's stamps may show as a VM selection
#     where 334fd10e built a DFA: read RX_ENGINE_SEL / `_WHY` on any such
#     cell before calling it movement.
#   - THREE rows' `override` moved none -> flag, VALUE UNCHANGED, desc
#     extended with the new raise-only per-compile flag: PCREC_MAX_NFA_STATES
#     131072 (`--max-nfa-states`), PCREC_MAX_DFA_STATES_GOTO 10000
#     (`--max-dfa-states-goto`), PCREC_MAX_SUBSET_ELEMS 48000000
#     (`--max-subset-elems`). The bench passes none of them: every pinned
#     config keeps pcrec's defaults, and the 65535 rung's "NFA exceeds
#     131072 states" refusal is UNCHANGED at this pin.
#   - PCREC_MAX_DFA_STATES_TABLE 32000: VALUE and override UNCHANGED, desc
#     re-worded "NOT RAISABLE (N1 survey) -- the emitted table's cell type
#     is a C short".
#
# The rows this bench has already met by name, all UNCHANGED:
# PCREC_MAX_DFA_STATES_TABLE 32000 (the ">32000 states" [SEL-1] overflow),
# PCREC_MAX_SUBSET_ELEMS 48000000 (the K7 subset-elements budget the `\z`
# forms overflow by -- I-22/I-23's distinct `_WHY` route),
# PCREC_ANCHORED_MAX_STATES 4096 (the [ENG-ABS] ceiling, I-20),
# PCREC_MAX_EMIT_BYTES 1000000 / PCREC_MAX_VM_EMIT_CODE_BYTES 500000 (the
# [ART-SIZE] caps every artifact stamps as its effective limits -- and the
# code cap is the wall altwide's `w-512` VM form still meets at this pin,
# where `w-384` now fits under it as an island), PCREC_NFA_MAX_STATES
# 131072 (the "NFA exceeds 131072 states" refusal the 65535 rung meets --
# O-9/I-20, UNCHANGED at this pin: [OPT-EDGE] STEP 1.1 acts after
# construction like STEP 1 did).
#
# WHAT THIS FILE IS FOR: nothing a RECORD carries is read from it (every
# cap and capacity a record needs is STAMPED per artifact); it is the
# table this bench's overflow readings resolve against BY NAME, archived
# so the pin's limit surface is diffable across re-pins, and `make
# check-harness` diffs it against the pin's live output
# (check_list_limits_registry).
#
# ONE thing DOES read it, and only in order to REFUSE ([B31], 2026-09-02):
# the emitted-size cap axis' raise-only check takes PCREC_MAX_EMIT_BYTES
# and PCREC_MAX_VM_EMIT_CODE_BYTES from here, so a config declaring a
# max_emit_bytes below pcrec's own default is an AdapterError naming both
# numbers before anything is measured. Reading them rather than typing
# them is what keeps this repo from holding a second copy of a pcrec
# constant that could fall out of step; the diff above is what stops that
# copy going stale silently.
# pcrec numeric-limits registry (docs/spec/table_contract.md, the
# SIXTH TSV surface; D90/[LIM-1]). One row per numeric limit in
# src/core/limits.def, in the table's own order.
#
# unit: the quantity's dimension, or empty for a dimensionless
# magnitude ceiling.
# kind: "compile budget" (bounds the COMPILER's own analysis or
#   emission; crossing it can refuse a pattern) | "runtime
#   capacity" (bounds the EMITTED MATCHER's own resource use;
#   crossing it is a give-up, never a wrong answer) | "size cap"
#   (bounds emitted artifact bytes) | "selection knee" (a
#   threshold or default that steers a selection mechanism, not a
#   hard ceiling) | "identifier cap" (bounds a name's length or a
#   naming-tied count).
# override: "flag" (a CLI flag or pcrec_options field moves it per
#   compile) | "-D" (only a build-time -D at pcrec's OWN compile
#   moves it) | "none" (fixed).
# anchor: the docs/spec/limits.md section this number is
#   documented in, empty when it is not (limits.md states caller-
#   facing PROMISES, not an internals catalogue — see this file's
#   own header and src/core/limits.def's for the boundary).
#name	value	unit	kind	override	anchor	desc
PCREC_MAX_PREFIX_LEN	60	bytes	identifier cap	none		generated-symbol prefix (-p): a C identifier bound
PCREC_MAX_EMIT_NAME_LEN	156	bytes	identifier cap	none		K38: fixed buffer size for every emitted identifier/sub-expression built from the -p prefix
PCREC_DFA_OVERFLOW_WHY_LEN	96	bytes	identifier cap	none		[SEL-1]: fixed size of the DFA-cap-overflow reason string (RX_ENGINE_WHY source)
PCREC_MAX_NFA_STATES	131072	states	compile budget	flag	3.3	M2.8: NFA state-count ceiling; a memory backstop, the DFA caps below usually bind first; --max-nfa-states ALSO raises it per compile (raise-only)
PCREC_MAX_DFA_STATES_GOTO	10000	states	compile budget	flag	3.3	computed-goto DFA attempt engine's state ceiling; --max-dfa-states-goto ALSO raises it per compile (raise-only) -- raising it trades gcc's own superlinear computed-goto compile time (R1 A-3), the caller's cost to accept
PCREC_MAX_DFA_STATES_TABLE	32000	states	compile budget	none	3.3	table-engine DFA state ceiling; NOT RAISABLE (N1 survey) -- the emitted table's cell type is a C `short`/`unsigned short` (PREMUL_DEAD=65535, indexed dead=-1; src/gen/emit_dfa.c), so a state number the artifact cannot represent would silently truncate; 32000 already sits just under that ceiling
PCREC_MAX_TABLE_ENTRIES	2000000	entries	compile budget	none	3.3	states*classes bound on the DFA transition table (~12 MB source)
PCREC_MAX_SUBSET_ELEMS	48000000	elements	compile budget	flag	3.3	[M4.7b]/K7: total NFA-state-list elements the priority subset construction may intern, summed over both machines; --max-subset-elems ALSO raises it per compile (raise-only)
PCREC_MAX_AUTO_DFA_ELEMS	30000000	elements	compile budget	-D	3.3	[LIM-2] N1: the AUTO route's own DFA-attempt work budget, in K7's already-counted subset-element unit (Ctx.subset_elems); over budget under --engine=auto abandons the attempt and falls back to VM through the SAME auto-fallback umbrella a PCREC_MAX_SUBSET_ELEMS refusal uses (SEL-1); --engine=dfa is unaffected and pays the full cap above; --max-auto-dfa-elems ALSO raises it per compile (raise-only); -D moves the built-in default (the N1 positive-control test's reference compiler is the one non-default consumer, matching PCREC_MAX_VM_EMIT_CODE_BYTES's own precedent)
PCREC_MAX_VM_NODES	131072	nodes	compile budget	none	3.3	[M4.5b]: the VM emitter's own node-count size backstop
PCREC_MAX_VM_REPEAT_COPIES	64	copies	compile budget	none		[M4.5c]: how many times a bounded repeat may replicate a body with a choice point
PCREC_MAX_VM_REPLICATION_PRODUCT	131072	nodes	compile budget	none		[K22]: total replication product along a chain of nested bounded repeats — a literal alias of PCREC_MAX_VM_NODES, not tuned separately
PCREC_DEFAULT_UNROLL_K	8	count	selection knee	flag		[ENG-BREP]: the counter rung's default unroll factor K, overridden by --unroll=N
PCREC_MAX_POSSESS_POSITIONS	256	positions	compile budget	none		[ENG-BREP]: byte-consuming positions a quantifier body may have before possessify.c declines it
PCREC_MAX_REVDET_BODY_GROUPS	64	groups	compile budget	none		[ENG-BREP]: capturing groups a quantifier body may contain before revdet.c declines the reverse-deterministic rung
PCREC_MAX_ALTCLS_FACTOR_DEPTH	64	levels	compile budget	none		[OPT-ALTCLS] stage 2: how deep prefix factoring may recurse into a group that just split
PCREC_MAX_REPEAT	65535	count	compile budget	none		FIX-1/K5: the largest {n,m} quantifier count PCRE2 accepts (measured against libpcre2 10.46)
PCREC_MAX_GROUP_DEPTH	250	levels	compile budget	none		PCRE2's own nested-group depth ceiling (measured); also bounds parser/AST recursion depth
PCREC_MAX_GROUP_NAME	128	bytes	identifier cap	none		[M6.3]: a named group's name, measured against libpcre2 10.46 (PCRE2 error 148 above it)
PCREC_VERB_NAME_MAX	128	bytes	identifier cap	none		a (*VERB) name; PCRE2-internals tier, measured over both name tables
PCREC_VERB_LIMIT_ACC_MAX	429496728		compile budget	none		(*LIMIT_MATCH=N) and friends: the accumulator magnitude PCRE2 refuses at (UINT32_MAX/10 - 1)
PCREC_UPROP_NAME_MAX	48	chars	identifier cap	none		\p{...}/\P{...} property name, in SIGNIFICANT characters (measured against libpcre2 10.46)
PCREC_MAX_SPLICE_NODES	512	nodes	compile budget	none		[DD-14 wave G]: per-call-site AST-node splice budget before a call linkage is forced
PCREC_MAX_SPLICE_TOTAL	8192	nodes	compile budget	none		[DD-14 wave G]: total added AST nodes across every spliced call site in one compile
PCREC_ANCHORED_MAX_STATES	4096	states	compile budget	-D		[ENG-ABS]: the optional anchored match-here machine's own DFA state ceiling, lower than the mandatory pair's
PCREC_MAX_VM_EMIT_CODE_BYTES	500000	bytes	size cap	-D	8	[ART-SIZE]/D84: emitted C bytes OUTSIDE table initializers; --max-emit-code-bytes ALSO raises it per-compile (raise-only); -D moves the built-in default (run_size_term.sh's reference-compiler consumer)
