id	len	sha256	description	periodic
cls-boundary-range	5	850f7dc43910ff890f8879c0ed26fe697c93a067ad93a7d50f466a7028a9bf4e	field/hit `[a-é]+` (cls-boundary-range): 'café' -- every character (c,a,f,é) is in the range U+0061..U+00E9	no
cls-high-range	6	63fb1ae76a9f395bfa9843ca13f96dbc0521de2eae4f2a4590de20f50841f8c5	field/hit `[\x{100}-\x{2000}]+` (cls-high-range): a Cyrillic word, entirely inside the range	no
cls-neg-single-miss	2	4a99557e4033c3539de2eb65472017cad5f9557f7a0625a09f1c3f6e2ba69c4c	field/miss `[^é]` (cls-neg-single): the WHOLE subject is é alone -- no non-é character exists to match	no
cls-cyr-triple	12	4ed0608556890f1debeb0947b33bff409c18a80755422c362f4daa5cd5ce0749	field/edge, THREE members at once: `[^\x{80}-\x{10FFFF}]+` (cls-neg-allhigh) MISSES (no ASCII byte anywhere); `\w+` without UCP (cls-w-ascii) MISSES (Cyrillic letters are not ASCII word chars); `(*UCP)\w+` (cls-w-ucp) HITS on the same text	no
cls-mixed-hit	5	1cab1dc0ec1c265e876bf719b7532b88696f2457128add39dee16ffc95a4b19d	field/hit `[a-zé\x{430}-\x{44F}]+` (cls-mixed) AND `[^\x{4E00}-\x{9FFF}]+` (cls-neg-cjk, none of these characters is Han): a, é, б in one run	no
cls-dot-hit	3	85217f7aff77841438439fb3e7cf37bb3062fb026453c7692247d3a5641a0115	field/hit `.` (cls-dot): one CJK character	no
cls-dot-rep-hit	12	a7af6a199a7f3992fff8f0f7fa60c6cf7a7ce1128815cc3cc9fe38dc944dfa02	field/hit `^.{5}$` (cls-dot-rep): 5 CHARACTERS (4x 2-byte + 1x 4-byte) totalling 12 BYTES	no
cls-dot-rep-miss	5	5c9d05cb4bdf671496ea5740b46574429d48f2b213644f68992412e8949373ea	field/miss `^.{5}$` (cls-dot-rep): 3 characters (1+2+2 bytes = 5 BYTES) -- 5 bytes but only 3 characters, so it must NOT match	no
cls-w-ascii-posix-hit	8	27cc6994fc1c01ce6659c6bddca9b69c4c6a9418065e612c69d110b3f7b11f8a	field/hit `\w+` ascii-scoped (cls-w-ascii) and `[[:alpha:]]+` (cls-posix-alpha): plain ASCII	no
cls-digit-pair	8	9a952bdf815567e52691cd75fd69901a7aea4696b67e1e011a57b8ab292a1008	field/edge, digit ascii/ucp PAIR: four Arabic-Indic digits -- `\d{4}` ascii-scoped (cls-d-ascii) MISSES, `(*UCP)\d{4}` (cls-d-ucp) HITS	no
cls-space-pair	4	9507017c6d887511a5a6ac28ea7e3a438882576e1bd76fe3df27a336f49c263b	field/edge, space ascii/ucp PAIR: 'a' NBSP 'b' -- `a\sb` ascii-scoped (cls-s-nbsp) MISSES, `(*UCP)a\sb` (cls-s-ucp) HITS	no
cls-posix-straupperss	11	0c05438d17a67b70b3840474567e630fa26601bc38762a52cfb020950192645f	field/edge `[[:alpha:]]+` (cls-posix-alpha): 'Straße' -- the ASCII-scoped run stops at ß (not an ASCII letter), a scope-boundary witness	no
cls-lead-pair-hit	6	a36d0b22783c5fac3141df5bd7c0cd4c58abfaf8e2eff196ff3043226d66fbb1	field/hit `[α-ω]+` (cls-lead-pair): Greek alpha-beta-gamma, a class UD 6.3 says a two-lead-byte bitmap-skip arm must take	no
cls-neg-cjk-miss	9	77710aedc74ecfa33685e33a6c7df5cc83004da1bdcef7fb280f5c2b2e97e0a5	field/miss `[^\x{4E00}-\x{9FFF}]+` (cls-neg-cjk): pure Han text -- every character IS in the negated range, so no run can match	no
cls-allhigh-ascii-hit	10	c9ecf5e54c7b3f2640ecca21f96d4c3625a2b7935104f41c5ede29935a9e52c9	field/hit `[^\x{80}-\x{10FFFF}]+` (cls-neg-allhigh): pure byte-clean ASCII	no
